user,channel,message,timestamp
itztony1702,healthygamer_gg ,BibleThump BibleThump,2021-07-16 14:05:22
flaredrip,healthygamer_gg ,SUPERHERO BibleThump BibleThump,2021-07-16 14:05:23
modxta23,healthygamer_gg ,GOOD DAD FeelsGoodMan,2021-07-16 14:05:23
reaperdiff,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:05:23
3rdkira,healthygamer_gg ,drhgWeird,2021-07-16 14:05:25
margololita,healthygamer_gg ,BibleThump BibleThump BibleThump,2021-07-16 14:05:26
ogxyuma,healthygamer_gg ,Y E P,2021-07-16 14:05:27
egohaze,healthygamer_gg ,<3,2021-07-16 14:05:28
incredibledino,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:05:29
dbviana733,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:05:29
staralfur12,healthygamer_gg ,True,2021-07-16 14:05:33
aqualyn,healthygamer_gg ,NotLikeThis,2021-07-16 14:05:34
bs_blackscout,healthygamer_gg ,<3,2021-07-16 14:05:35
mahiel3,healthygamer_gg ,how old is he?,2021-07-16 14:05:35
gordonbman,healthygamer_gg ,lirikCozysip Lyoon1595,2021-07-16 14:05:36
is_dev,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:05:36
wcafc,healthygamer_gg ,<3,2021-07-16 14:05:38
dontgiftme,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:05:38
fireballtheferret,healthygamer_gg ,@cybercleric top shelf comment,2021-07-16 14:05:39
thelope,healthygamer_gg ,sounds like your dad was struggling and used video games to cope and hard to blame for that,2021-07-16 14:05:41
kyza_draws,healthygamer_gg ,????,2021-07-16 14:05:42
icyryno,healthygamer_gg ,hasL hasL hasL hasL hasL,2021-07-16 14:05:43
memiemo,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:05:43
loern,healthygamer_gg ,FeelsStrongMan goddamn,2021-07-16 14:05:44
replaykay,healthygamer_gg ,FeelsStrongMan im not cryin ur cryin,2021-07-16 14:05:44
jaytea111,healthygamer_gg ,can we not apply flaws to people right now,2021-07-16 14:05:45
goofballguiness,healthygamer_gg ,???,2021-07-16 14:05:46
zzzbri,healthygamer_gg ,damn,2021-07-16 14:05:46
icekiller159,healthygamer_gg ,POG,2021-07-16 14:05:47
fertheferry,healthygamer_gg ,BibleThump,2021-07-16 14:05:47
reaperdiff,healthygamer_gg ,monkaW,2021-07-16 14:05:47
gecklord,healthygamer_gg ,oh man <3,2021-07-16 14:05:47
jw_is_fine,healthygamer_gg ,omg,2021-07-16 14:05:48
yuventuz,healthygamer_gg ,this guy speaks so goddamn well,2021-07-16 14:05:48
duckdotduck,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:05:48
bestatnothing,healthygamer_gg ,whoa twist,2021-07-16 14:05:48
cloudsjr,healthygamer_gg ,oh,2021-07-16 14:05:48
buttfarm_poker_,healthygamer_gg ,Good Guy Dad FeelsStrongMan,2021-07-16 14:05:50
